Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Category
Ezstays,2019,New Delhi,education,"ezstays is a leading student-life network, providing hostels and pg accommodation with top-tier living facilities at the best prices.","Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",Richard Rekhy,400000.0,Seed,2021,education and training
Stylework,2017,Gurgaon,property,stylework is an unconventional co-working space aggregator that is going to change the way people work.,Sparsh Khandelwal,Inflection Point Ventures,500000.0,Pre-Series A,2021,real estate
Kinara Capital,2011,Bangalore,financial services,kinara capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,Hardika Shah,"Gawa Capital, Gaja Capital",6000000.0,Unknown,2021,fintech
Riskcovry,2018,Bangalore,insuretech,"riskcovry is an ""insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund",5000000.0,Series A,2021,technology
Nodwin,2012,Gurgaon,gaming,nodwin gaming is a gaming solutions company and creator of e-sports events.,Gautam Virk,Krafton,20000000.0,Unknown,2021,media and entertainment
Quizizz,2015,Bangalore,education,quizizz is a education based startup,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",12500000.0,Series A,2021,education and training
Ecom Express,2012,New Delhi,e-commerce,ecom express is an end-to-end technology-enabled logistics solutions provider to the indian e-commerce industry.,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","Cdc Group, Partners Group",20000000.0,Unknown,2021,e-commerce
Turtlemint,2015,Mumbai,insuretech,turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",Jungle Ventures,45000000.0,Series D,2021,technology
Captain Fresh,2019,Bangalore,supply chain platform,captain fresh is a freshwater fish and seafood supply chain platform.,Utham Gowda,"Matrix Partners India, Ankur Capital",3000000.0,Seed,2021,technology
Northern Arc,2008,Chennai,financial services,northern arc capital (formerly known as ifmr capital) is a non-banking finance company.,Kshama Fernandes,"U.S. International Development Finance Corp, Asian Development Bank",10000000.0,Debt,2021,fintech
Qoohoo,2020,Bangalore,social platform,a platform for creators to build immersive connections with their fans and followers and monetize them.,"Vimal Singh Rathore, Aseem Gupta",Angel Investors,800000.0,Seed,2021,media and entertainment
Igl,2016,Mumbai,gaming,indian gaming league is the premier esports platform in india.,Yash Pariani,"Hungama, Hindustan Talkies",500000.0,Unknown,2021,media and entertainment
Ampm,2018,Gurgaon,e-commerce,24*7 convenience store,Shubham Gupta,Agility Venture Partners,200000.0,Unknown,2021,e-commerce
The Eplane,2016,Chennai,drone,"transforming the mobility landscape using aerial transport. currently, we build drones for industrial applications","Pranjal Mehta, Satyanarayanan Chakravarthy","Speciale Invest, Farid Ahsan",1000000.0,Seed,2021,technology
Cashify,2009,Gurgaon,e-commerce,cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, Cdh Investments",15000000.0,Unknown,2021,e-commerce
Bijnis,2014,New Delhi,b2b service,digitizing the factories of the unorganised industries.,"Chaitanya Rathi, Shubham Agarwal, Siddharth Rastogi, Siddharth Vij","Sequoia Capital India, Matrix Partners India",0.0,Unknown,2021,business services
Questt,2020,Gurgaon,education,questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Akhil Singh, Mohsin, Rohit Pande","Chiratae Ventures, Aet Fund",1000000.0,Seed,2021,education and training
Dealshare,2018,Jaipur,e-commerce,dealshare is a social commerce startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital",3000000.0,Debt,2021,e-commerce
Euler Motors,2018,New Delhi,automotive,electric light commercial vehicle,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",4000000.0,Series A,2021,mobility and transportation
Blume Ventures,2011,Mumbai,financial services,blume ventures provides pre-series a and early stage funding to tech-focused/tech-enabled ventures.,"Karthik Reddy, Sanjay Nath",Avendus,40000000.0,Unknown,2021,fintech
Koinearth,2018,Bangalore,blockchain startup,"koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",Praphul Chandra,Yournest,1800000.0,Pre-Series A,2021,technology
Imaginxp,2013,Pune,education,imaginxp is a curriculum company with a focus on training and certification in ux design and design thinking.,Vidhika Rohatgi,Venture Catalysts,1500000.0,Unknown,2021,education and training
Virohan,2018,Gurgaon,education,virohan is an edtech company using technology to prepare a future-ready workforce for the healthcare industry.,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja","National Skill Development Corporation, Rianta Capital",0.0,Unknown,2021,education and training
Apna.Co,2019,Bangalore,recruitment,apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,Nirmit Parikh,"Sequoia Capital India, Rocketship.Vc",12500000.0,Unknown,2021,technology
Ideaforge,2007,Mumbai,drone,ideaforge is an indian company engaged in the development of unmanned aerial systems.,"Ankit Mehta, Ashish Bhat","Infosys, Qualcomm Ventures",2000000.0,Unknown,2021,technology
Clairco,2018,Bangalore,cleantech,clairco provides enhanced air purification and real-time insights for breathable air indoors.,Aayush Jha,"Real Estate Accelerator Program (Reap), Angellist",500000.0,Unknown,2021,technology
Northern Arc,2008,Chennai,financial services,northern arc capital (formerly known as ifmr capital) is a non-banking finance company.,Kshama Fernandes,"Asian Development Bank, U.S. International Development Finance Corp",50000000.0,Debt,2021,fintech
Lenskart,2010,Faridabad,fashion,lenskart is an india-based online shopping portal for eyewear.,"Amit Chaudhary, Peyush Bansal","Kohlberg Kravis Roberts, Temasek Holdings",95000000.0,Unknown,2021,design and creative industries
Parksmart,2018,New Delhi,automotive,parksmart is a parking management application.,"Prateek Garg, Rahul Gupta, Ratan Anmol Sethi, Rishabh Nagpal, Vishva Sharma","Shireen Rangaswamy, Dilesh Gathani",0.0,Seed,2021,mobility and transportation
Virohan,2018,Gurgaon,education,virohan is an edtech company that offers healthcare vocational training to students to build a career in the healthcare industry.,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Rebright Partners, Wadhwani Foundation",3000000.0,Series A,2021,education and training
Banksathi,2019,New Delhi,financial services,"bank sathi provides loans, insurance, cards comparison, and approval facility.",Jitendra Dhaka,"Dinesh Godara, Aditya Talwar",200000.0,Seed,2021,fintech
Spark Studio,2020,Bangalore,education,online courses to build creativity and confidence in children through extra-curricular learning,Anushree Goenka,Better Capital,0.0,Seed,2021,education and training
Blissclub,2020,Bangalore,fashion,"blissclub is a community first women’s activewear brand. it is a direct-to-consumer brand in the active lifestyle space, founded in 2020 by isb alum minu margeret",Minu Margeret,Elevation Capital,2000000.0,Seed,2021,design and creative industries
Bricspaces,2018,Bangalore,property,"a prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Madhusudhan,Angel Investors,350000.0,Pre-Seed,2021,real estate
Ansr,2008,Bangalore,consulting,"ansr consulting is providing end-to-end services for companies, setting up captive service centers.",Lalit Ahuja,"Sistema Asia Capital, Evolvence India Fund",15000000.0,Series B,2021,business services
Keito,2016,Pune,ai company,"no-code <> human-assisted machine learning platform for document processing, to break information silos for enterprises",Amal P S,"Rajesh Agarwal, Nandkishore Mundada",0.0,Seed,2021,technology
Reccy Adventures,2019,Gurgaon,sports startup,reccy adventures is an adventure sports startup.,"Amit Chowdhury, Siddhartha Chatterjee, Tapas Pal","Kallol Banerjee, Jaydeep Barman",400000.0,Seed,2021,technology
Magenta Ev,2017,Mumbai,renewable energy,magenta is in the business of enabling electric mobility & making electricity clean,"Maxson Lewis, Darryl Dias","Jito Angel Network, Letsventure",15000000.0,Series A,2021,renewable energy
Karbon Card,2019,Bangalore,financial services,karbon card is a financial platform for indian entrepreneurs.,"Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-Fu Hsieh, Sunil Kumar","Myasia Vc, Orios Venture Partners",1000000.0,Pre-Series A,2021,fintech
Wysa,2015,Bangalore,ai company,wysa is an ai conversational agent that has been shown to help improve mental health,"Jo Aggarwal, Ramakant Vempati","W Health Ventures, Pi Ventures",5000000.0,Series A,2021,technology
Agnikul,2017,Chennai,spacetech,"agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.","Moin Spm, Satyanarayanan Chakravarthy, Srinath Ravichandran","Artha India Ventures, Sriram Krishnan",11000000.0,Series A,2021,technology
